,price,address,address_from_xml
0,"$820,000","8889 Caminito Plaza Centro UNIT 7128, San Diego, CA 92122","8889 Caminito Plaza Centro UNIT 7128, San Diego, CA 92122"
1,"$2,495/mo","4070 Iowa St APT 8, San Diego, CA 92104","4070 Iowa St APT 8, San Diego, CA 92104"
2,"$4,895/mo","4403 La Crosse Ave, San Diego, CA 92117","4403 La Crosse Ave, San Diego, CA 92117"
3,"$2,195/mo","4669 Iowa St #9, San Diego, CA 92116","4669 Iowa St 9, San Diego, CA 92116"
4,"$3,250/mo","3837 1/2 Kendall St, San Diego, CA 92109","3837 1 2 Kendall St, San Diego, CA 92109"
5,"$2,300/mo","3810 31st St #111, San Diego, CA 92104","3810 31st St 111, San Diego, CA 92104"
6,"$2,100/mo","3810 31st St #110, San Diego, CA 92104","3810 31st St 110, San Diego, CA 92104"
7,"$2,525/mo","4784 Bermuda Ave #A, San Diego, CA 92107","4784 Bermuda Ave A, San Diego, CA 92107"
8,"$1,800/mo","3810 31st St #106, San Diego, CA 92104","3810 31st St 106, San Diego, CA 92104"
9,"$2,100/mo","3810 31st St #109, San Diego, CA 92104","3810 31st St 109, San Diego, CA 92104"
10,"$3,795/mo","9659 Caminito Del Feliz #11, San Diego, CA 92121","9659 Caminito Del Feliz 11, San Diego, CA 92121"
